image_url,diseases_name,website_link,search_letter
https://dermnetnz.org/assets/Uploads/0616__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg,BCC affecting the face images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-face-images/?stage=Live,B
https://dermnetnz.org/assets/Uploads/0629__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg,BCC affecting the nose images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-nose-images/?stage=Live,B
https://dermnetnz.org/assets/Uploads/0653__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,BCC affecting the trunk images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-trunk-images/?stage=Live,B
https://dermnetnz.org/assets/Uploads/syph6-s-2__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Bacteria images,https://dermnetnz.org/image-catalogue/bacterial-skin-infection-images/?stage=Live,B
https://dermnetnz.org/assets/Uploads/syph6-s-2__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Bacterial skin infection images,https://dermnetnz.org/image-catalogue/bacterial-skin-infection-images/?stage=Live,B
https://dermnetnz.org/assets/Uploads/balanitis4-s-1__FocusFillWzE1MCwxMTAsInkiLDIzXQ.jpg,Balanitis images,https://dermnetnz.org/topics/balanitis-images/?stage=Live,B
https://dermnetnz.org/assets/Uploads/0692__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Basal cell carcinoma affecting the ear images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-ear-images/?stage=Live,B
https://dermnetnz.org/assets/Uploads/0633__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg,Basal cell carcinoma affecting the eyelid images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-eyelid-images/?stage=Live,B
https://dermnetnz.org/assets/Uploads/0616__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg,Basal cell carcinoma affecting the face images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-face-images/?stage=Live,B
https://dermnetnz.org/assets/Uploads/0629__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg,Basal cell carcinoma affecting the nose images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-nose-images/?stage=Live,B
https://dermnetnz.org/assets/Uploads/0653__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Basal cell carcinoma affecting the trunk images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-trunk-images/?stage=Live,B
https://dermnetnz.org/assets/Uploads/0692__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Basal cell epithelioma affecting the ear images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-ear-images/?stage=Live,B
https://dermnetnz.org/assets/Uploads/0633__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg,Basal cell epithelioma affecting the eyelid images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-eyelid-images/?stage=Live,B
